id,text,title,urls
20,"[""What is your favorite hotel? Where is it located?"", ""It\u2019s the Sheraton, a five-star hotel located in Saigon, Vietnam."", ""How do you know that hotel?"", ""Before coming to Vietnam for traveling, I searched on the Internet. It\u2019s one of the best hotels in Vietnam."", ""Why do you choose to stay in that particular hotel?"", ""I like the architecture there, and online all the reviews about the hotel are positive."", ""Is it by the beach?"", ""No, Saigon is not a beach-side city."", ""Does it attract many tourists?"", ""Yes, I guess. When I stayed there, it was completely booked."", ""What type of room did you stay in and what facilities did you get from the hotel?"", ""I stayed in a double-bed room. The room is equipped with air-conditioner, a flat-screen TV, wardrobe, etc."", ""What do you like about that hotel?"", ""A gymnasium, swimming pool, and BBQ area are available. I also love the green space surrounding the hotel."", ""Are all the staff friendly and helpful?"", ""Yes, definitely. They all are professional."", ""How much does it cost a night?"", ""It costs me around $250/night."", ""Do you recommend that hotel to friends?"", ""Yes, if they come to Vietnam. I love everything there.""]",A hotel,https://basicenglishspeaking.com/a-hotel/
13,"[""What subjects did you learn in school?"", ""I learned Math, Science, Physics, Biology, Geography, History, Literature, English, Art, and Music."", ""What subject did you like the most when you were at school? Were you good at it?"", ""I liked Biology the most although I was excellent at Literature."", ""Did your friends like that subject too?"", ""Yes, they did. They enjoyed every single Biology lesson."", ""Was the textbook\u00a0written\u00a0in English or any other language?"", ""It was written in English."", ""Who taught that subject?"", ""My teacher was Ms. Karen, from the USA."", ""How was that subject helpful to you?"", ""It helped me a lot in becoming a Biology teacher."", ""How often did you learn that subject?"", ""I often had Biology lessons 5 times a week."", ""How long did you spend on that subject at home?"", ""I spent roughly 2 hours per day studying Biology at home."", ""Have you ever attended any extra classes for that subject?"", ""Yes, I have. I usually attended evening classes."", ""Is it important to study hard on both social sciences and natural sciences?"", ""No, it isn\u2019t. Students should study the ones they like and those that are helpful to their career path.""]",A favorite subject,https://basicenglishspeaking.com/a-subject/
14,"[""What type of museum is popular in your country?"", ""There are many types of museums, but the most popular are\u00a0historical\u00a0museums."", ""What is the most famous museum in your country?"", ""That would be The British Museum, located in London."", ""What\u2019s special about it?"", ""I\u2019m impressed by its large amount of historical, art, and cultural work."", ""How many times have you visited that museum?"", ""I have visited the museum twice."", ""What do you usually do when visiting a museum?"", ""I usually listen to the tour guide and take notes about important information."", ""Are you allowed to take pictures there?"", ""No, the guards did not allow us to bring the\u00a0camera in."", ""How did you feel after visiting there?"", ""The overall experience was fantastic, and I learned so many things in just a few hours."", ""What do you think is the importance of museums in history?"", ""Museums are an integral part of any country\u2019s history, and they keep history alive.""]",A museum,https://basicenglishspeaking.com/a-museum/
16,"[""Have you ever travelled abroad? If yes, what country was it?"", ""Yes, I have. I traveled to the USA last year with my family."", ""Where is that country located?"", ""The USA is located in North America."", ""What is it famous for?"", ""The USA is known for its cultural achievements and landmarks."", ""What are the special food and drinks of that country?"", ""There are many. They are known for fast food, dairy,\u00a0and many beverages."", ""What do you like about that country?"", ""I like the fast pace of life and the various sub-cultures."", ""How many citizens are there in that country?"", ""The current population of the United States of America was over 324 million in 2016, which accounts for 4.3% of the total world population."", ""What language do people there speak?"", ""The national language is English, but many people also speak Spanish, French, German, and Chinese."", ""Do you want to go back there again?"", ""Sure."", ""Why do people like to travel abroad?"", ""They just want to discover new places, learn new cultures and maybe speak new languages.""]",A foreign country,https://basicenglishspeaking.com/a-foreign-country/
19,"[""Who\u2019s your best friend?"", ""It\u2019s Jenny. She\u2019s my best friend."", ""What does she look like?"", ""She has shoulder-length brown hair. I just love her lovely smile."", ""How and when did you meet?"", ""I first met her when we were in high school."", ""How often do you see this friend?"", ""I see her every day. We\u2019re in the same class."", ""What\u2019s she like?"", ""She\u2019s not only thoughtful but also very understanding. She\u2019s always by my side to cheer me up whenever I\u2019m in trouble."", ""Do you and her share anything in common?"", ""Yes, a lot. We both love shopping and playing sports."", ""What do you and\u00a0her\u00a0do together?"", ""We usually do homework and read books together."", ""Have you and\u00a0her\u00a0ever quarreled?"", ""Yes, but we seldom quarrel. When we do argue, afterwards we seem to understand more about each other."", ""Does she know how to cook?"", ""Yes, but she\u2019s not a great cook."", ""Do your parents like her?"", ""Yes, a lot. They always ask Jenny to come over for dinner."", ""Why is a friend important in life?"", ""A good friend can make your life better in many ways. I don\u2019t think anyone can stand loneliness.""]",A friend,https://basicenglishspeaking.com/a-friend/
17,"[""On what occasions do people in your country celebrate parties?"", ""There are many occasions when people throw parties such as New Year\u2019s eve, wedding engagments, family reunions, birthdays, etc, but sometimes people hold parties just when they meet up and want to have something fun to do."", ""Are you\u00a0a party animal?"", ""Yes, I am. I\u2019m crazy about going to parties. I love meeting friends, drinking, and talking."", ""When do parties often start and finish?"", ""It depends on what kind of party it is. I believe the perfect time to have a\u00a0party is in the evening, from 8-11 pm."", ""Where are the parties thrown?"", ""They are held inside or outside. Some formal events like weddings/housewarmings are organized inside while others like\u00a0family\u00a0reunions and birthdays may be held outside."", ""What do you usually wear when you come to a\u00a0party?"", ""I often wear casual clothes like a T-shirt and jeans if I go to informal parties, and a dress for formal ones."", ""What do people do in the parties you attended?"", ""At the party, people talk, eat and drink together. Some go there to find business opportunities and new partners."", ""Do you enjoy drinking alcohol at the parties?"", ""Yes, a little beer can cheer me up."", ""Do people have to bring anything to the party?"", ""It\u2019s not required, but sometimes visitors bring some gifts to show their love for the host."", ""Why do people, especially the youth, love going to parties?"", ""It\u2019s just a good way for them to chill out after a long day.""]",Parties,https://basicenglishspeaking.com/parties/
15,"[""Do you usually watch movies at home or at a movie theater?"", ""I usually watch movies on my laptop, sometimes I go to the movie theater."", ""Is watching movies at the theater more interesting than watching movies at home?"", ""Yes, definitely, because you can watch vivid images on a large screen with lively sound effects."", ""How often do you go to the movie theater?"", ""I often go to the movie theater every weekend."", ""What\u2019s your favorite type of movie? What movie of that type do you like?"", ""My favorite type is comedy because whenever I watch one, I feel like there are no more worries in the world. I love the Mr.Bean movie series."", ""Was that movie adapted from a book?"", ""No, the story is derived from funny situations in real life."", ""Who are the actors/actresses in the movie?"", ""Mr. Bean is the main character, he is played by Rowan Atkinson who is from England."", ""Was it recommended by your friend, teacher or family?"", ""It was recommended by my classmate."", ""Was the movie in your mother language or in English?"", ""It was in English, but I can also watch it with subtitles."", ""Should children watch violent movies?"", ""I don\u2019t believe so. Young children are very impressionable and it could lead them to wanting to imitate the behavior."", ""What\u2019s the most important factor of a great movie?"", ""I believe that plot and actors are among the factors which decide the success of a movie.""]",A favorite movie,https://basicenglishspeaking.com/a-movie/
10,"[""Which tourist attractions do you prefer when traveling? Historical places or natural landmarks?"", ""Well, historical places are always my first choice when traveling."", ""What do you usually do when visiting historical places?"", ""I usually listen to the\u00a0tour-guide\u00a0introducing the sights and take notes about important historical events."", ""Can you name some historical places you have visited?"", ""Whenever I travel to a foreign country, I always visit its famous historical places. Some of them are the Pyramids in Egypt, Angkor Wat in Cambodia, Stonehenge in England and the Taj Mahal in India."", ""What\u2019s your most favorite historical place? Why?"", ""I love the Pyramids the most. Taking a tour around the Pyramids, I can not only enjoy the gorgeous architecture but also learn cultural and historical values of the ancient Egyptian culture."", ""What is the most famous historical place in your country?"", ""It\u2019s definitely the Statue of Liberty in New York city."", ""What\u2019s special about it?"", ""The statue was gifted\u00a0by\u00a0the people of France. It is a symbol of freedom for the US as well as a welcoming sight\u00a0to\u00a0people coming to the US from another country."", ""Where is it located?"", ""It\u2019s located on Liberty island in New York Harbor, NYC."", ""Should the youth visit historical places instead of other places?"", ""Sure. Nowadays the youth should visit these kind of places more often in order to preserve historical and cultural values of their country.""]",Historical place,https://basicenglishspeaking.com/historical-place/
11,"[""What are the benefits of reading a newspaper/magazine?"", ""Newspapers/magazines can broaden your mind about thousands of things without the need to travel."", ""How often do you read it?"", ""I read it every day."", ""What\u2019s the best time to read the newspaper?"", ""I think the best time is in the morning\u00a0when you start a new day."", ""What types of\u00a0magazines\u00a0do you usually read?"", ""I usually read politics and fashion magazines. I also enjoy reading about culture and tourism."", ""What\u2019s your favorite magazine?"", ""My favorite is The New York Times, which writes about all sorts of things: business, sports, movies, travel, books, jobs, education, and real estate."", ""Do you read the paper\u00a0or online news?"", ""I prefer online news to save money."", ""How much does it cost you to buy paper newspaper per month?"", ""I only buy a monthly\u00a0newspaper, so it doesn\u2019t cost much money. Around $5/month."", ""What is the most popular magazine in your country?"", ""I think it would be Forbes magazine, a leading source for reliable business news and financial information."", ""With the popularity of Internet, do you think newspapers and magazines will disappear?"", ""Yes, unfortunately it\u2019s just a matter of time.""]",Newspaper/ Magazine,https://basicenglishspeaking.com/newspaper-magazine/
12,"[""How many events have you joined this year? What were they about?"", ""I have joined more than 10 events so far, most of which were about education."", ""What was your most memorable event?"", ""The most memorable for me was an international study conference, in which I\u00a0was introduced\u00a0to some famous universities in Europe to study overseas."", ""Was it organized indoors or outdoors?"", ""It was an indoor event."", ""Who sponsored the event?"", ""The event organizer was the Education Department of American Center, but the universities introduced in the conference were the ones who paid."", ""Who went to the event with you?"", ""I went there with my friends, who shared the same interest in studying abroad as me."", ""What were some performances in the event?"", ""There were not many performances. Each university representative just had a speech to introduce their school to students and then they hosted Q&A session."", ""Was the event shown on TV?"", ""The event was not aired, but there were television advertisements for it."", ""How would someone market an event?"", ""Taking advantage of social media is a smart way to promote an event.""]",A memorable event,https://basicenglishspeaking.com/an-event/
9,"[""What kind of presents are popular in your country?"", ""It depends on the receivers. For children, toys are the best choice. For youth, souvenirs are recommended."", ""Who gave presents to you? On what occasions?"", ""I have received many presents, most of which were from my friends. They gave me gifts on my birthday."", ""What was your last present?"", ""It was a hand-made doll, given by my best friend when I moved to another city."", ""What was the one you like best?"", ""I loved my book Nepal a lot. It was given to me on my 23rd birthday by my brother."", ""Did you ever get a present you didn\u2019t like?"", ""Yes, I have, but I still treasure and take care of them."", ""How do you thank people who give you presents?"", ""I gave them presents that they would like."", ""What are the times of the year that people give presents in your country?"", ""Some special occasions are\u00a0birthdays, weddings, graduation, New Year\u2019s day, Valentine\u2019s day, housewarming ceremonies, etc."", ""Who was the last person you gave a present to?"", ""My mom, I bought her a coat on a business trip to Bangkok."", ""Is giving presents important in daily life?"", ""Yes, it is. It\u2019s one of the best ways to show your love and gratitude to someone.""]",Presents,https://basicenglishspeaking.com/presents/
7,"[""Did you have a happy childhood?"", ""Yes, I did. I enjoyed playing hide and seek with my peers."", ""Did you experience your childhood in a city or countryside?"", ""I spent my childhood in a rural area where I could see vast rice fields."", ""Did you usually skip class when you were a child?"", ""Yes, I did, and many of my friends did, too."", ""Who were you with when you were a child?"", ""I was with my beloved family."", ""What did you want to be when you were a child?"", ""I dreamed of being a fashion designer."", ""Who did you love the most when you were a child?"", ""I loved my mom the most since she was always there and took care of me."", ""Who was your childhood hero?"", ""Robin Hood, he took money from the rich and gave it to the poor."", ""What reminds you of your childhood?"", ""Green rice fields which I happen to see everywhere remind me of my beautiful childhood."", ""Did you change a lot when you grew up?"", ""Yes, of course. I\u2019m more mature now both physically and mentally."", ""Why is childhood important?"", ""Because it shapes people into who they will become.""]",Childhood memory,https://basicenglishspeaking.com/childhood-memory/
